"HYBAS_ID","Quarter","Year","TimeSeriesID","SurveyID","Species","Abundance","UnitAbundance","SourceID","SiteID","Protocol","BioRealm","HydroBasin","Country","Region","Province","Waterbody","lat","long","ZONE","ROW_","ORD_STRA","ORD_STRA2"
"11413",6070709820,"2/3",2013,"G86","alt65","Characidium zebra",6,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11414",6070709820,"2/3",2013,"G86","alt65","Hypostomus ancistroides",1,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11415",6070709820,"2/3",2013,"G86","alt65","Knodus moenkhausii",7,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11416",6070709820,"2/3",2013,"G86","alt65","Oligosarcus pintoi",1,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11417",6070709820,"2/3",2013,"G86","alt65","Serrapinnus notomelas",3,"Count",2,"S12855","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","DULCINOPOLIS","UNNAMED TRIBUTARY CORREGO ARRANCADO",-20.12915,-50.49183,22,"K",1,1
"11351",6070709820,"2/3",2013,"G80","alt59","Astyanax lacustris",1,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11352",6070709820,"2/3",2013,"G80","alt59","Cichlasoma paranaense",1,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11353",6070709820,"2/3",2013,"G80","alt59","Corydoras aeneus",6,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11354",6070709820,"2/3",2013,"G80","alt59","Hoplosternum littorale",12,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11355",6070709820,"2/3",2013,"G80","alt59","Hypostomus ancistroides",17,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11356",6070709820,"2/3",2013,"G80","alt59","Oligosarcus pintoi",2,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11357",6070709820,"2/3",2013,"G80","alt59","Poecilia reticulata",604,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11358",6070709820,"2/3",2013,"G80","alt59","Rhamdia quelen",1,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11359",6070709820,"2/3",2013,"G80","alt59","Xiphophorus maculatus",108,"Count",2,"S12849","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","MACEDONIA","CORREGO DA CAPITUVA",-20.13615,-50.18677,22,"K",1,1
"11418",6070709820,"2/3",2013,"G87","alt66","Aspidoras fuscoguttatus",6,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11419",6070709820,"2/3",2013,"G87","alt66","Astyanax lacustris",10,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11420",6070709820,"2/3",2013,"G87","alt66","Gymnotus sylvius",3,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11421",6070709820,"2/3",2013,"G87","alt66","Hoplias malabaricus",5,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11422",6070709820,"2/3",2013,"G87","alt66","Hypostomus ancistroides",2,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11423",6070709820,"2/3",2013,"G87","alt66","Knodus moenkhausii",84,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11424",6070709820,"2/3",2013,"G87","alt66","Laetacara araguaiae",1,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11425",6070709820,"2/3",2013,"G87","alt66","Melanorivulus pictus",5,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11426",6070709820,"2/3",2013,"G87","alt66","Oligosarcus pintoi",1,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11427",6070709820,"2/3",2013,"G87","alt66","Serrapinnus notomelas",1,"Count",2,"S12856","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","ESTRELA DO OESTE","UNNAMED TRIBUTARY RIBEIRAO SANTA RITA",-20.14278,-50.38033,22,"K",3,3
"11458",6070709820,"2/3",2013,"G93","alt72","Astyanax lacustris",3,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11459",6070709820,"2/3",2013,"G93","alt72","Hoplias malabaricus",1,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11460",6070709820,"2/3",2013,"G93","alt72","Knodus moenkhausii",1,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11461",6070709820,"2/3",2013,"G93","alt72","Laetacara araguaiae",2,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11462",6070709820,"2/3",2013,"G93","alt72","Oligosarcus pintoi",4,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11463",6070709820,"2/3",2013,"G93","alt72","Serrapinnus notomelas",6,"Count",2,"S12862","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DO ESCONDIDO",-20.13372,-50.81627,22,"K",2,1
"11443",6070709820,"2/3",2013,"G92","alt71","Astyanax lacustris",4,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11444",6070709820,"2/3",2013,"G92","alt71","Characidium zebra",3,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11445",6070709820,"2/3",2013,"G92","alt71","Cichlasoma paranaense",2,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11446",6070709820,"2/3",2013,"G92","alt71","Corydoras aeneus",3,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11447",6070709820,"2/3",2013,"G92","alt71","Crenicichla britskii",3,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11448",6070709820,"2/3",2013,"G92","alt71","Gymnotus sylvius",14,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11449",6070709820,"2/3",2013,"G92","alt71","Hoplias malabaricus",7,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11450",6070709820,"2/3",2013,"G92","alt71","Hypostomus ancistroides",1,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11451",6070709820,"2/3",2013,"G92","alt71","Imparfinis schubarti",9,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11452",6070709820,"2/3",2013,"G92","alt71","Knodus moenkhausii",1,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11453",6070709820,"2/3",2013,"G92","alt71","Laetacara araguaiae",5,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11454",6070709820,"2/3",2013,"G92","alt71","Moenkhausia sanctaefilomenae",10,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11455",6070709820,"2/3",2013,"G92","alt71","Oligosarcus pintoi",2,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11456",6070709820,"2/3",2013,"G92","alt71","Pyrrhulina australis",3,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
"11457",6070709820,"2/3",2013,"G92","alt71","Rhamdia quelen",1,"Count",2,"S12861","Electrofishing","Neotropics",6080016970,"BRA","SAO PAULO","SANTA RITA DO OESTE","UNNAMED TRIBUTARY CORREGO DA ONCA",-20.14337,-50.7764,22,"K",1,1
